id,pubId,Equation,reactionEnergy,surfaceComposition,ads_1,ads_2,ads_3,sites_1,sites_2,sites_3,MetalA,RatioA,MetalB,RatioB
424082.0,MamunHighT2019,SO2(g) + 3* -> 2O* + S*,-3.613926339962063,Rh3Cu,O,S,0,hollow,hollow,0,Rh,3,Cu,1
390706.0,MamunHighT2019,H2SO3(g) + 6* -> 2H* + 3O* + S*,-3.2100949811847386,Pd3Fe,H,O,S,bridge,hollow,hollow,Pd,3,Fe,1
381073.0,MamunHighT2019,CH3CH2SH(g) + 9* -> 2C* + 6H* + S*,0.3200719982229429,Pd3Ag,C,H,S,hollow,hollow,hollow,Pd,3,Ag,1
397057.0,MamunHighT2019,CH2CH2(g) + 6* -> 2C* + 4H*,3.227778707297716,In3V,C,H,0,hollow,top,0,In,3,V,1
421716.0,MamunHighT2019,CO(g) + 2* -> C* + O*,-2.5260818807779515,Tc3Pt,C,O,0,hollow,hollow,0,Tc,3,Pt,1
409416.0,MamunHighT2019,H2S(g) + 3* -> 2H* + S*,-4.601048950016661,La3Tl,H,S,0,hollow,hollow,0,La,3,Tl,1
415247.0,MamunHighT2019,NO(g) + 2* -> N* + O*,-9.475087673006785,Ta3Mo,N,O,0,hollow,hollow,0,Ta,3,Mo,1
384025.0,MamunHighT2019,OCHOH(g) + 5* -> C* + 2H* + 2O*,-9.619002967823915,Ta3Y,C,H,O,hollow,bridge,hollow,Ta,3,Y,1
361717.0,MamunHighT2019,CH3CH2SH(g) + 9* -> 2C* + 6H* + S*,-4.243592592425898,Ru3Bi,C,H,S,hollow,hollow,hollow,Ru,3,Bi,1
383991.0,MamunHighT2019,NO(g) + 2* -> N* + O*,-8.66590724091293,Nb3Cr,N,O,0,hollow,hollow,0,Nb,3,Cr,1
362343.0,MamunHighT2019,OCHOH(g) + 5* -> C* + 2H* + 2O*,-8.816167142033237,Sc3Cr,C,H,O,hollow,hollow,hollow,Sc,3,Cr,1
409210.0,MamunHighT2019,CH3OH(g) + 6* -> C* + 4H* + O*,-5.170071367996115,La3Zn,C,H,O,hollow,hollow,hollow,La,3,Zn,1
384579.0,MamunHighT2019,CS2(g) + 3* -> C* + 2S*,-8.375742458564787,V3Cr,C,S,0,hollow,hollow,0,V,3,Cr,1
385333.0,MamunHighT2019,NCH(g) + 3* -> C* + H* + N*,-5.010635652496035,W3Zr,C,H,N,hollow,hollow,hollow,W,3,Zr,1
391369.0,MamunHighT2019,NO2(g) + 3* -> N* + 2O*,-5.491192500938496,Ag3Y,N,O,0,hollow,hollow,0,Ag,3,Y,1
366651.0,MamunHighT2019,H2O2(g) + 4* -> 2H* + 2O*,-1.596211614262984,PdZn,H,O,0,hollow,hollow,0,Pd,1,Zn,1
388156.0,MamunHighT2019,CH* + * -> C* + H*,0.4172482034991844,Au3Os,C,H,CH,hollow,top,top,Au,3,Os,1
395249.0,MamunHighT2019,H2S(g) + 3* -> 2H* + S*,-2.604035556678241,Al3La,H,S,0,bridge-tilt,bridge,0,Al,3,La,1
415294.0,MamunHighT2019,C2H2(g) + 4* -> 2C* + 2H*,-6.187233169213016,Ta3W,C,H,0,hollow,hollow,0,Ta,3,W,1
374303.0,MamunHighT2019,CH3OH(g) + 6* -> C* + 4H* + O*,-5.918137345120613,CoY,C,H,O,bridge,hollow-tilt,4fold,Co,1,Y,1
393262.0,MamunHighT2019,H2O(g) + 3* -> 2H* + O*,-0.7391503029595015,Zn3Os,H,O,0,top,hollow,0,Zn,3,Os,1
388213.0,MamunHighT2019,CH2CH2(g) + 6* -> 2C* + 4H*,-1.9516850785133784,Ni3Sc,C,H,0,hollow,hollow,0,Ni,3,Sc,1
369932.0,MamunHighT2019,CO(g) + 2* -> C* + O*,1.1952922817275748,NiPb,C,O,0,bridge,bridge,0,Ni,1,Pb,1
380595.0,MamunHighT2019,NH3(g) + 4* -> 3H* + N*,-1.1315788675248657,Pd3Os,H,N,0,top,hollow,0,Pd,3,Os,1
377740.0,MamunHighT2019,SH* + * -> H* + S*,-0.6673145626991754,GaIr,H,S,SH,top,hollow,bridge,Ga,1,Ir,1
424404.0,MamunHighT2019,H2SO4(g) + 7* -> 2H* + 4O* + S*,-3.832595523539567,Ni3Pd,H,O,S,hollow,hollow,hollow,Ni,3,Pd,1
369829.0,MamunHighT2019,NO(g) + 2* -> N* + O*,-9.087093748014013,LaZr,N,O,0,hollow,hollow,0,La,1,Zr,1
364424.0,MamunHighT2019,H2O(g) + 3* -> 2H* + O*,-2.9748186893758657,PbZr,H,O,0,bridge,bridge,0,Pb,1,Zr,1
415060.0,MamunHighT2019,CO2(g) + 3* -> C* + 2O*,-7.939427646631884,Ti3Tl,C,O,0,hollow,hollow,0,Ti,3,Tl,1
379619.0,MamunHighT2019,CH3SH(g) + 6* -> C* + 4H* + S*,3.767058946774682,Ag3Al,C,H,S,hollow,hollow,hollow,Ag,3,Al,1
391764.0,MamunHighT2019,NH3(g) + 4* -> 3H* + N*,-2.002762342320409,Ag3Tc,H,N,0,hollow,top,0,Ag,3,Tc,1
376240.0,MamunHighT2019,NH3(g) + 4* -> 3H* + N*,-5.239308421421072,MoV,H,N,0,hollow,hollow,0,Mo,1,V,1
398867.0,MamunHighT2019,H2SO4(g) + 7* -> 2H* + 4O* + S*,-4.990663312861216,Pb3Os,H,O,S,top,top,hollow,Pb,3,Os,1
363852.0,MamunHighT2019,CH3OH(g) + 6* -> C* + 4H* + O*,4.419416636298138,CdPd,C,H,O,bridge,bridge,hollow,Cd,1,Pd,1
410524.0,MamunHighT2019,NH3(g) + 4* -> 3H* + N*,-4.9436768721181465,Sc3Ta,H,N,0,hollow,hollow,0,Sc,3,Ta,1
374528.0,MamunHighT2019,CO2(g) + 3* -> C* + 2O*,-4.149794952030788,AlTa,C,O,0,hollow,hollow,0,Al,1,Ta,1
387872.0,MamunHighT2019,OCHOH(g) + 5* -> C* + 2H* + 2O*,-1.974142497429284,Rh3Cr,C,H,O,hollow,hollow,hollow,Rh,3,Cr,1
365281.0,MamunHighT2019,NO(g) + 2* -> N* + O*,-6.372367452007893,CuNb,N,O,0,hollow,bridge,0,Cu,1,Nb,1
392613.0,MamunHighT2019,CS2(g) + 3* -> C* + 2S*,-0.0693249461556888,Cu3Zn,C,S,0,hollow,hollow,0,Cu,3,Zn,1
420689.0,MamunHighT2019,H2O(g) + 3* -> 2H* + O*,-2.469145189172309,Re3Ru,H,O,0,hollow,hollow,0,Re,3,Ru,1
385701.0,MamunHighT2019,CH3OH(g) + 6* -> C* + 4H* + O*,-6.440048830696014,Re3Y,C,H,O,hollow,bridge-tilt,bridge,Re,3,Y,1
380834.0,MamunHighT2019,CH3CHO(g) + 7* -> 2C* + 4H* + O*,7.6977355905531795,In3Ru,C,H,O,hollow,top,hollow,In,3,Ru,1
387630.0,MamunHighT2019,NH* + * -> H* + N*,0.4056240446079755,Pd3Pt,H,N,NH,top,hollow,hollow,Pd,3,Pt,1
391173.0,MamunHighT2019,NH2(g) + 3* -> 2H* + N*,-2.6308746888819883,Au3Ir,H,N,0,top,top,0,Au,3,Ir,1
421112.0,MamunHighT2019,NO2(g) + 3* -> N* + 2O*,-8.912581156941314,Re3Cu,N,O,0,hollow,hollow,0,Re,3,Cu,1
362901.0,MamunHighT2019,H2SO4(g) + 7* -> 2H* + 4O* + S*,-6.038957522259807,Rh3Al,H,O,S,hollow,hollow,hollow,Rh,3,Al,1
372380.0,MamunHighT2019,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,8.484652620687143,PbRh,C,H,O,hollow-tilt,bridge,hollow-tilt,Pb,1,Rh,1
413312.0,MamunHighT2019,CS2(g) + 3* -> C* + 2S*,-8.677500242866813,Hf3Ru,C,S,0,hollow,hollow,0,Hf,3,Ru,1
407706.0,MamunHighT2019,CH2CH2(g) + 6* -> 2C* + 4H*,-2.30608205990427,Y3Mo,C,H,0,top,hollow,0,Y,3,Mo,1
366233.0,MamunHighT2019,NO(g) + 2* -> N* + O*,-7.498676018407423,MoTa,N,O,0,hollow,hollow,0,Mo,1,Ta,1
374545.0,MamunHighT2019,CH3CH3(g) + 8* -> 2C* + 6H*,-1.078772591420261,AlTa,C,H,0,hollow,bridge,0,Al,1,Ta,1
